year,total,-14,15-64,65-
2015,127095,15945,77282,33868
2016,126864,15797,76482,34585
2017,126605,15660,75782,35163
2018,126315,15552,75158,35606
2019,125998,15460,74622,35916
2020,125658,15409,74058,36192
2021,125295,15359,73550,36386
2022,124907,15298,73130,36479
2023,124490,15224,72683,36584
2024,124046,15161,72181,36704
2025,123573,15102,71701,36771
2026,123073,15036,71231,36805
2027,122547,14991,70716,36840
2028,121995,14942,70147,36905
2029,121419,14922,69507,36990
2030,120819,14906,68754,37160
2031,120196,14817,68379,37000
2032,119550,14723,67630,37197
2033,118882,14623,66876,37383
2034,118194,14516,66086,37592
2035,117488,14397,65275,37817
2036,116764,14268,64412,38084
2037,116026,14133,63501,38391
2038,115274,13996,62554,38724
2039,114511,13858,61636,39016
2040,113739,13721,60812,39206
2041,112961,13586,60057,39318
2042,112179,13453,59374,39352
2043,111396,13323,58727,39346
2044,110614,13197,58132,39285
2045,109837,13076,57569,39192
2046,109066,12961,57059,39046
2047,108302,12854,56555,38894
2048,107548,12754,56045,38749
2049,106802,12662,55546,38594
2050,106065,12577,55082,38406
2051,105335,12499,54660,38177
2052,104611,12426,54251,37934
2053,103891,12359,53867,37665
2054,103172,12295,53512,37365
2055,102452,12235,53175,37042
2056,101729,12178,52849,36703
2057,101002,12121,52508,36372
2058,100267,12065,52173,36029
2059,99524,12008,51806,35711
2060,98773,11948,51422,35403
2061,98013,11885,51046,35081
2062,97245,11819,50660,34766
2063,96470,11747,50266,34456
2064,95688,11671,49885,34132
2065,94904,11591,49503,33810
