year,total,-14,15-64,65-
2015,127095,15945,77282,33868
2016,126838,15771,76482,34585
2017,126532,15587,75782,35163
2018,126177,15413,75158,35606
2019,125773,15235,74622,35916
2020,125325,15075,74058,36192
2021,124836,14900,73550,36386
2022,124310,14702,73130,36479
2023,123751,14484,72683,36584
2024,123161,14276,72181,36704
2025,122544,14073,71701,36771
2026,121903,13867,71231,36805
2027,121240,13684,70716,36840
2028,120555,13502,70147,36905
2029,119850,13353,69507,36990
2030,119125,13212,68754,37160
2031,118380,13028,68353,37000
2032,117616,12862,67557,37197
2033,116833,12713,66738,37383
2034,116033,12579,65861,37592
2035,115216,12457,64942,37817
2036,114383,12344,63954,38084
2037,113535,12239,62905,38391
2038,112674,12137,61813,38724
2039,111801,12037,60748,39016
2040,110919,11936,59777,39206
2041,110028,11833,58877,39318
2042,109131,11726,58053,39352
2043,108229,11616,57268,39346
2044,107326,11501,56539,39285
2045,106421,11384,55845,39192
2046,105518,11264,55207,39046
2047,104616,11142,54580,38894
2048,103716,11019,53948,38749
2049,102819,10894,53331,38594
2050,101923,10767,52750,38406
2051,101029,10639,52213,38177
2052,100135,10511,51690,37934
2053,99240,10381,51193,37665
2054,98342,10252,50726,37365
2055,97441,10123,50276,37042
2056,96534,9996,49836,36703
2057,95622,9870,49380,36372
2058,94702,9747,48927,36029
2059,93775,9626,48438,35711
2060,92840,9508,47928,35403
2061,91897,9394,47422,35081
2062,90949,9284,46899,34766
2063,89994,9177,46362,34456
2064,89036,9074,45831,34132
2065,88077,8975,45291,33810
